RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JB515062,,11/13/2018 10:56:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,CENTER TURN LANE,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/13/2018 10:58:00 PM,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER LANE USAGE,4200,S,CICERO AVE,814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,3,11,41.816729387,-87.743536712,POINT (-87.743536712476 41.816729386747)
JB515059,,11/13/2018 10:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/13/2018 10:50:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,3154,N,CENTRAL AVE,2514,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,3,11,41.938367562,-87.766639412,POINT (-87.766639411535 41.938367561741)
JB515036,Y,11/13/2018 10:16:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,DIVIDED - W/MEDIAN BARRIER,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,N,"OVER $1,500",11/13/2018 10:19:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,302,S,HAMLIN BLVD,1133,,,,,,,3,"REPORTED, NOT EVIDENT",1,0,0,0,1,8,0,22,3,11,41.877094312,-87.720839881,POINT (-87.720839881389 41.877094312269)
JB515053,,11/13/2018 09:59:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/13/2018 10:44:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8826,S,RACINE AVE,2222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,3,11,41.733332089,-87.653411574,POINT (-87.653411573964 41.73333208868)
JB515020,,11/13/2018 09:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/13/2018 09:47:00 PM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),513,N,ASHLAND AVE,1215,Y,Y,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,3,11,41.891398018,-87.667006204,POINT (-87.667006203859 41.891398018318)
JB515005,,11/13/2018 09:15:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/13/2018 09:40:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2800,W,BELMONT AVE,1733,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,3,11,41.939502381,-87.697849374,POINT (-87.697849374016 41.939502380809)
JB514978,,11/13/2018 09:08:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/13/2018 09:13:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3803,W,ROOSEVELT RD,1011,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,21,3,11,41.86612813,-87.720264008,POINT (-87.720264008274 41.866128129787)
JB514972,,11/13/2018 09:03:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,11/13/2018 09:06:00 PM,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,2000,W,GRAND AVE,1221,,,,,,,3,NONINCAPACITATING INJURY,5,0,0,5,0,0,0,21,3,11,41.890931093,-87.677034967,POINT (-87.677034966979 41.890931093284)
JB515050,,11/13/2018 09:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/13/2018 10:45:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,3858,S,WESTERN AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,3,11,41.822984211,-87.685025824,POINT (-87.68502582381 41.822984211439)
JB515006,,11/13/2018 09:00:00 PM,5,UNKNOWN,UNKNOWN,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,PARKING LOT,1,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,$500 OR LESS,11/13/2018 09:50:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3700,S,SPAULDING AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,3,11,41.826007162,-87.707074263,POINT (-87.707074263053 41.826007162481)
JB515023,Y,11/13/2018 08:56:00 PM,35,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,N,"$501 - $1,500",11/13/2018 08:56:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4301,S,WABASH AVE,215,,,,,,,1,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,20,3,11,41.816425389,-87.624505561,POINT (-87.624505561224 41.816425388583)
JB515012,,11/13/2018 08:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/13/2018 09:45:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,399,E,ILLINOIS ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,3,11,41.890940429,-87.617712391,POINT (-87.617712391401 41.890940429483)
JB514962,,11/13/2018 08:43:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,,"$501 - $1,500",11/13/2018 09:00:00 PM,DISTRACTION - FROM INSIDE VEHICLE,DISTRACTION - FROM INSIDE VEHICLE,7167,S,SOUTH CHICAGO AVE,324,,,,,,,1,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,3,11,41.764577497,-87.603551601,POINT (-87.603551601302 41.76457749748)
JB514954,,11/13/2018 08:15:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),6,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,,"OVER $1,500",11/13/2018 08:45:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3960,W,IRVING PARK RD,1723,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,3,11,41.953758427,-87.727558921,POINT (-87.72755892105 41.953758426627)
JB515116,,11/13/2018 08:00:00 PM,5,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,Y,"$501 - $1,500",11/14/2018 01:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2260,E,99TH ST,431,N,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,3,11,41.715398241,-87.568714952,POINT (-87.568714951826 41.715398240779)
JB514947,,11/13/2018 08:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/13/2018 08:50:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5558,W,BELMONT AVE,1633,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,3,11,41.938685116,-87.766440265,POINT (-87.766440265057 41.938685116424)
JB514938,,11/13/2018 08:00:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/13/2018 08:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5814,N,CUMBERLAND AVE,1614,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,3,11,41.984943909,-87.836728158,POINT (-87.836728158063 41.984943909311)
JB515019,,11/13/2018 07:55:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/13/2018 10:10:00 PM,IMPROPER TURNING/NO SIGNAL,IMPROPER LANE USAGE,1,N,ASHLAND AVE,1224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,3,11,41.881504556,-87.666657561,POINT (-87.666657560535 41.881504555642)
JB514949,,11/13/2018 07:33:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/13/2018 07:33:00 PM,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,7059,S,STONY ISLAND AVE,332,,,,,,,2,NONINCAPACITATING INJURY,3,0,0,1,2,4,0,19,3,11,41.766239371,-87.585779805,POINT (-87.585779805054 41.766239371073)
JB514896,,11/13/2018 07:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/13/2018 07:26:00 PM,IMPROPER TURNING/NO SIGNAL,IMPROPER TURNING/NO SIGNAL,64,W,LOWER WACKER DR,111,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,3,11,41.887069304,-87.630367869,POINT (-87.630367868642 41.887069304408)
JB514975,,11/13/2018 07:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,N,"OVER $1,500",11/13/2018 09:00:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,9400,S,STONY ISLAND AVE,413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,3,11,41.724074784,-87.585303232,POINT (-87.585303232497 41.724074783765)
JB514870,,11/13/2018 06:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,RAMP,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/13/2018 07:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,500,E,RANDOLPH ST,114,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,3,11,41.884499511,-87.613748152,POINT (-87.61374815239 41.88449951058)
JB514828,,11/13/2018 06:48:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/13/2018 06:50:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,198,E,63RD ST,311,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,3,11,41.780204712,-87.62051736,POINT (-87.620517359866 41.780204711571)
JB514830,,11/13/2018 06:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/13/2018 06:56:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1071,W,ROOSEVELT RD,1232,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,3,11,41.866933703,-87.653811869,POINT (-87.653811869471 41.866933703492)
JB514930,,11/13/2018 06:40:00 PM,30,NO CONTROLS,OTHER,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT ON GRADE,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/13/2018 08:24:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,750,E,75TH ST,323,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,3,11,41.758680511,-87.605796969,POINT (-87.605796968869 41.758680511332)
JB514824,,11/13/2018 06:38:00 PM,30,NO CONTROLS,OTHER,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/13/2018 07:07:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,5209,S,DAMEN AVE,932,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,18,3,11,41.799111256,-87.674304154,POINT (-87.67430415384 41.799111256236)
JB514859,,11/13/2018 06:22:00 PM,30,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/13/2018 07:20:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,8600,S,WESTERN AVE,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,3,11,41.737296246,-87.682697195,POINT (-87.682697194964 41.737296246364)
JB514821,,11/13/2018 06:20:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/13/2018 06:21:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2048,N,LARAMIE AVE,2515,,,,,,,3,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,18,3,11,41.918297129,-87.756127443,POINT (-87.756127442569 41.918297128929)
JB514776,,11/13/2018 06:13:00 PM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/13/2018 07:31:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,5429,W,BELMONT AVE,2514,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,3,11,41.938514983,-87.762757574,POINT (-87.762757574225 41.938514983419)
JB514841,,11/13/2018 06:09:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/13/2018 06:53:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,808,S,WABASH AVE,123,,,,,,,3,"REPORTED, NOT EVIDENT",1,0,0,0,1,0,0,18,3,11,41.87167991,-87.626080478,POINT (-87.626080478432 41.871679910148)
